"convoy","Does this photo show a military convoy, e.g., multiple military vehicles or tanks? Please answer with yes or no!"
"vehicle fire","Does this photo show a vehicle burning? Please answer with yes or no!"
"industrial fire","Does this photo show a factory burning? Please answer with yes or no!"
"city fire","Does this photo show fire in a city? Please answer with yes or no!"
"war/military operation","Does this photo show miliary excercises, e.g. soldiers with guns, tanks driving? Please answer with yes or no!"
"parliament speech","Does this photo show a person talking in the parliament? Please answer with yes or no!"
"press conference","Does this photo show a press conference? Please answer with yes or no!"
"hearing in court","Does this photo show people in the law court? Please answer with yes or no!"
"memorial celebration","Does this photo show people gathering in a memorial celebration? Please answer with yes or no!"
"human migration","Does this photo show people carrying bags and suitcases? Please answer with yes or no!"
"explosion","Does this photo show a building burning? Please answer with yes or no!"
"health emergence/crisis","Does this photo show a patient and doctor in a hospital? Please answer with yes or no!"
"police brutality","Does this photo show a policeman holding people down? Please answer with yes or no!"
"terrorist attack","Does this photo show ambulence and police cars? Please answer with yes or no!"
"industrial disaster","Does this photo show ruins of a burned factory? Please answer with yes or no!"
"nuclear accident","Does this photo show nuclear power plant? Please answer with yes or no!"
protest,"Does this photo show crowds in a demonstrations? Please answer with yes or no!"
election/political campaign,"Does this photo show election campaign, e.g. people holding pictures of politicians? Please answer with yes or no!"
pandemic,"Does this photo show a pandemic? Please answer with yes or no!"
funeral,"Does this photo show a funeral? Please answer with yes or no!"